"","WordVec_1","WordVec_2","WordVec_3","WordVec_4","WordVec_5","WordVec_6","WordVec_7","WordVec_8","WordVec_9","WordVec_10","WordVec_11","WordVec_12","WordVec_13","WordVec_14","WordVec_15"
"""""	""			currentsum",0.274467590303531,-0.843300691832081,0.209805740022898,0.238388776682205,0.00815954193884216,0.0523625277558182,0.238788599339231,0.337951994649258,0.151912837126483,0.314325467631998,0.1671222256148,-0.359002253330519,0.683691760383356,0.314794318314381,-0.55851557839699
"""""	""			else",0.343275148401807,0.0804032790059286,0.388957138587358,-0.321222168860694,0.138137116206998,-0.000122355044626599,0.0941651336722761,-0.318987209800967,-0.856327280373874,-0.129796820848053,-0.0573789928405727,0.399816138344355,-0.0156373846791827,0.185641172204416,-0.227580350806939
"""""	""			findclosurezlistx""",-0.49294830695726,-0.265742190880701,-0.0531010546255857,-0.0525105164851993,-0.241722729057074,-0.213862878968939,-0.401128632482141,-0.206326998071745,0.173786429688334,-0.501079197740182,-0.633594513405114,-0.185290732420981,0.19555916567333,-0.168823519954458,0.041631075553596
"""""	""			flag""",-0.0128404118586332,0.341633840231225,0.457158286357298,0.424831710290164,0.394898758269846,0.723674847744405,0.368309576297179,-0.500469815684482,0.164801192702726,-0.043684906559065,0.565830343635753,-0.407951121916994,-0.0588145747315139,0.515697154216468,-0.299606779357418
"""""	""			forint",0.152529772801391,-0.894274000927862,0.26623693663711,-0.448774300436973,-0.360770645115205,0.282683389873171,0.521861717490141,-0.0437516096364631,0.514033881280574,0.732922063242083,-0.653104337027225,-0.120601128384634,0.403616087696862,-0.386039372355988,-0.621225616216353
"""""	""			forjjgramiprodnoj""",0.0576061999890953,0.252778323600069,0.312490312615409,-0.0870057232677937,0.0856656089890748,-0.459277450572699,-0.714565695729107,-0.389819934265688,-0.213240967132151,0.153803589520976,0.657582578482106,-0.35475979745388,0.431266870349646,-0.114392790710554,-0.51937725301832
"""""	""			forkktermsk""",-0.0795635506510735,-0.402752886060625,0.123250075383112,0.380377806024626,0.248988710576668,0.0392380668781698,0.259663819568232,-0.221355252200738,-0.931653049075976,0.405137401074171,-0.123513611964881,0.795684643089771,-0.130808801390231,0.520829397719353,0.968910508789122
"""""	""			ifcloszirhsj",-0.820676949453848,-0.561257471751652,-0.406996874462178,0.123285654734509,0.542811364902864,0.354726710827267,0.263022722722182,0.59165157370078,0.531928873350737,-0.283480406175298,0.0524032809757441,0.300225893894953,-0.0195090612581966,0.389712863408314,-0.0649899185165589
"""""	""			ifleadij""",-0.144783315481618,-0.299912874121219,-0.460376491770148,-0.251298342831433,-0.0703364904038608,0.288464733399451,0.0353096683975309,0.542330216849223,0.245663326000795,0.30190942902118,-0.300646978896111,-0.138465240597725,0.289129873970523,0.13219247944653,0.13533469918184
"""""	""			ifprodnk",-0.390306593740537,-0.466321794404467,0.669778882311694,-0.097622459010367,-0.256077118065165,0.276957229221582,-0.148321406982997,-0.77773979942232,0.266382203890776,-0.896517978554861,0.594710436158657,-0.0737909276405966,0.688199329638163,0.071872899786153,-0.228602580303775
